Year,Player,ServicePointsWon
2013,Milos Raonic,0.7258
2013,Ivo Karlovic,0.7258
2013,John Isner,0.7166
2013,Novak Djokovic,0.7037
2013,Rafael Nadal,0.6854
2013,Kevin Anderson,0.6852
2013,Bradley Klahn,0.6837
2013,Roger Federer,0.6788
2013,Daniel Brands,0.6765
2013,Tomas Berdych,0.6765
2013,Juan Martin Del Potro,0.6753
2013,Nicolas Almagro,0.6727
2013,Philipp Kohlschreiber,0.6724
2013,Grigor Dimitrov,0.6697
2013,Nicolas Mahut,0.6696
2013,Sam Querrey,0.666
2013,Stephane Robert,0.665
2013,Vasek Pospisil,0.6649
2013,Ernests Gulbis,0.6617
2013,Stan Wawrinka,0.661
2013,Tommy Haas,0.6595
2013,Michal Przysiezny,0.6594
2013,Richard Gasquet,0.6571
2013,Andy Murray,0.6564
2013,Michael Llodra,0.6559
2013,Denis Istomin,0.6536
2013,Bernard Tomic,0.6536
2013,Albano Olivetti,0.653
2013,Kenny De Schepper,0.6524
2013,Carlos Berlocq,0.6485
2013,Marcos Baghdatis,0.6482
2013,Ivan Dodig,0.6477
2013,Janko Tipsarevic,0.6466
2013,James Duckworth,0.645
2013,Peter Gojowczyk,0.6434
2013,Igor Sijsling,0.6433
2013,Gael Monfils,0.6429
2013,Dmitry Tursunov,0.6416
2013,Jerzy Janowicz,0.6414
2013,Yen Hsun Lu,0.6398
2013,Feliciano Lopez,0.6394
2013,James Blake,0.6393
2013,Fernando Verdasco,0.6377
2013,Maximo Gonzalez,0.636
2013,Steve Johnson,0.6355
2013,David Ferrer,0.6335
2013,Andreas Haider Maurer,0.6334
2013,Jan Lennard Struff,0.633
2013,Andreas Seppi,0.6328
2013,Ricardas Berankis,0.6326
2013,Jeremy Chardy,0.6325
2013,Tommy Robredo,0.6319
2013,Philipp Petzschner,0.6314
2013,Jack Sock,0.6303
2013,Florian Mayer,0.63
2013,Marinko Matosevic,0.63
2013,Robin Haase,0.6298
2013,Rhyne Williams,0.629
2013,Edouard Roger Vasselin,0.6289
2013,Benjamin Becker,0.6267
2013,Jurgen Melzer,0.6267
2013,Alexandr Dolgopolov,0.6262
2013,Tim Smyczek,0.6259
2013,Julien Benneteau,0.6254
2013,Aljaz Bedene,0.6253
2013,Frank Dancevic,0.625
2013,Evgeny Donskoy,0.6246
2013,Mikhail Youzhny,0.6242
2013,Xavier Malisse,0.624
2013,Sergiy Stakjovsky,0.6239
2013,Santiago Giraldo,0.6233
2013,Jarkko Nieminen,0.6225
2013,Thiemo De Bakker,0.6225
2013,Kei Nishikori,0.6223
2013,Albert Ramos,0.6222
2013,Radek Stepanek,0.6219
2013,Thomaz Bellucci,0.6214
2013,Victor Hanescu,0.6201
2013,Marcel Granollers,0.6199
2013,Paul Henri Mathieu,0.6183
2013,Guillaume Rufin,0.6178
2013,Lukas Rosol,0.617
2013,Daniel Gimeno Traver,0.6158
2013,Lleyton Hewitt,0.6147
2013,Adrian Mannarino,0.6121
2013,Go Soeda,0.6114
2013,Benoit Paire,0.6111
2013,Somdev Devvarman,0.6111
2013,Ryan Harrison,0.6108
2013,Lukas Lacko,0.6105
2013,Brian Baker,0.6104
2013,Horacio Zeballos,0.6095
2013,Leonardo Mayer,0.609
2013,Denis Kudia,0.6081
2013,Guillermo Garcia Lopez,0.6078
2013,Alex Bogomolov Jr,0.6066
2013,Nikolay Davydenko,0.6066
2013,Roberto Bautista Agut,0.6064
2013,Pablo Cuevas,0.6062
2013,Tobias Kamke,0.6002
2013,Joao Sousa,0.5965
2013,Rajeev Ram,0.5957
2013,Lukasz Kubot,0.5953
2013,Daniel Evans,0.594
2013,Mikhail Kukushkin,0.5914
2013,Michael Russell,0.591
2013,Martin Klizan,0.5892
2013,David Goffin,0.5821
2013,Grega Zemlja,0.5809
2013,Jurgen Zopp,0.5804
2013,Jiri Vesely,0.5799
2013,Thomas Fabbiano,0.578
2013,Florent Serra,0.5779
2013,Paolo Lorenzi,0.5756
2013,Fabio Fognini,0.5727
2013,Andrey Kuznetsov,0.5695
2013,Guido Pella,0.566
2013,Dudi Sela,0.5606
2013,Rogerio Dutra Silva,0.56
2013,Nick Kyrgios,0.558
2013,Albert Montanes,0.5518
2013,Pablo Andujar,0.5513
2013,Donald Young,0.5509
2013,Juan Monaco,0.5401
