MatchID,Player1,Player2,Year
1,Novak Djokovic,Damir Dzumhur,2020
2,Kyle Edmund,Alexander Bublik,2020
3,Michael Mmoh,Joao Sousa,2020
4,Jan Lennard Struff,Pedro Martinez Portero,2020
5,Pablo Carreno Busta,Yasutaka Uchiyama,2020
6,Mitchell Krueger,Pedro Sousa,2020
7,Ricardas Berankis,Federico Gaio,2020
8,Steve Johnson,John Isner,2020
9,Denis Shapovalov,Sebastian Korda,2020
10,Soon Woo Kwon,Thai Son Kwiatkowski,2020
11,Gilles Simon,Mohamed Safwat,2020
12,Taylor Harry Fritz,Dominik Koepfer,2020
13,Filip Krajinovic,Mikael Ymer,2020
14,Marcos Giron,Marc Polmans,2020
15,Lloyd George Muirhead Harris,Marco Cecchinato,2020
16,David Goffin,Reilly Opelka,2020
17,Stefanos Tsitsipas,Albert Ramos,2020
18,Maxime Cressy,Jozef Kovalik,2020
19,Juan Ignacio Londero,Evgeny Donskoy,2020
20,Borna Coric,Pablo Andujar,2020
21,Egor Gerasimov,Dusan Lajovic,2020
22,Jordan Thompson,Stefano Travaglia,2020
23,Mikhail Kukushkin,Attila Balazs,2020
24,Christian Garin,Ulises Blanch,2020
25,Cameron Norrie,Diego Sebastian Schwartzman,2020
26,Federico Coria,Jason Jung,2020
27,Alejandro Davidovich Fokina,Dennis Novak,2020
28,Hubert Hurkacz,Peter Gojowczyk,2020
29,Adrian Mannarino,Lorenzo Sonego,2020
30,Jack Sock,Pablo Cuevas,2020
31,Brandon Nakashima,Paolo Lorenzi,2020
32,Alexander Zverev,Kevin Anderson,2020
33,Matteo Berrettini,Go Soeda,2020
34,Ugo Humbert,Yuichi Sugita,2020
35,Emil Ruusuvuori,Aljaz Bedene,2020
36,Casper Ruud,Mackenzie Mcdonald,2020
37,Ernesto Escobedo,Kamil Majchrzak,2020
38,Salvatore Caruso,James Duckworth,2020
39,Gregoire Barrere,Taro Daniel,2020
40,Andrey Rublev,Jeremy Chardy,2020
41,Grigor Dimitrov,Tommy Paul,2020
42,Marton Fucsovics,Hugo Dellien,2020
43,Frances Tiafoe,Andreas Seppi,2020
44,John Millman,Nikoloz Basilashvili,2020
45,Jeffrey John Wolf,Guido Pella,2020
46,Roberto Carballes Baena,Feliciano Lopez,2020
47,Christopher Oconnell,Laslo Djere,2020
48,Daniil Medvedev,Federico Delbonis,2020
49,Roberto Bautista Agut,Tennys Sandgren,2020
50,Miomir Kecmanovic,Gianluca Mager,2020
51,Vasek Pospisil,Philipp Kohlschreiber,2020
52,Milos Raonic,Leonardo Mayer,2020
53,Alex De Minaur,Andrej Martin,2020
54,Richard Gasquet,Ivo Karlovic,2020
55,Andrey Kuznetsov,Sam Querrey,2020
56,Karen Khachanov,Jannik Sinner,2020
57,Felix Auger Aliassime,Thiago Monteiro,2020
58,Andy Murray,Yoshihito Nishioka,2020
59,Corentin Moutet,Jiri Vesely,2020
60,Daniel Evans,Thiago Seyboth Wild,2020
61,Marin Cilic,Denis Kudla,2020
62,Norbert Gombos,Radu Albot,2020
63,Sumit Nagal,Bradley Klahn,2020
64,Dominic Thiem,Jaume Munar,2020
